Year,SDG Series,Composite breakdown,Unit of measure,Value
2010,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]","IHR Capacity: National legislation, policy and financing",Percent,75
2011,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]","IHR Capacity: National legislation, policy and financing",Percent,75
2012,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]","IHR Capacity: National legislation, policy and financing",Percent,75
2013,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]","IHR Capacity: National legislation, policy and financing",Percent,75
2014,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]","IHR Capacity: National legislation, policy and financing",Percent,100
2015,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]","IHR Capacity: National legislation, policy and financing",Percent,100
2016,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]","IHR Capacity: National legislation, policy and financing",Percent,100
2017,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]","IHR Capacity: National legislation, policy and financing",Percent,0
2010,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Coordination and National Focal Point communications,Percent,75
2011,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Coordination and National Focal Point communications,Percent,66
2012,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Coordination and National Focal Point communications,Percent,66
2013,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Coordination and National Focal Point communications,Percent,73
2014,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Coordination and National Focal Point communications,Percent,100
2015,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Coordination and National Focal Point communications,Percent,100
2016,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Coordination and National Focal Point communications,Percent,100
2017,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Coordination and National Focal Point communications,Percent,10
2010,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Surveillance,Percent,40
2011,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Surveillance,Percent,40
2012,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Surveillance,Percent,35
2013,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Surveillance,Percent,70
2014,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Surveillance,Percent,90
2015,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Surveillance,Percent,95
2016,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Surveillance,Percent,95
2017,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Surveillance,Percent,25
2010,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Response,Percent,48
2011,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Response,Percent,71
2012,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Response,Percent,52
2013,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Response,Percent,67
2014,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Response,Percent,76
2015,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Response,Percent,94
2016,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Response,Percent,94
2017,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Response,Percent,40
2010,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Preparedness,Percent,14
2011,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Preparedness,Percent,65
2012,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Preparedness,Percent,40
2013,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Preparedness,Percent,66
2014,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Preparedness,Percent,70
2015,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Preparedness,Percent,80
2016,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Preparedness,Percent,80
2017,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Preparedness,Percent,20
2010,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Risk communication,Percent,80
2011,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Risk communication,Percent,29
2012,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Risk communication,Percent,29
2013,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Risk communication,Percent,83
2014,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Risk communication,Percent,86
2015,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Risk communication,Percent,86
2016,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Risk communication,Percent,86
2017,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Risk communication,Percent,29
2010,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Human resources,Percent,33
2011,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Human resources,Percent,25
2012,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Human resources,Percent,20
2013,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Human resources,Percent,20
2014,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Human resources,Percent,60
2015,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Human resources,Percent,80
2016,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Human resources,Percent,80
2017,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Human resources,Percent,0
2010,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Laboratory,Percent,88
2011,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Capacity: Laboratory,Percent,60
