Year,Series,Reference area,Units,Value
2000,Proportion of medium and high-tech industry value added in total value added,Nepal,Percent,12.1
2001,Proportion of medium and high-tech industry value added in total value added,Nepal,Percent,12.12
2002,Proportion of medium and high-tech industry value added in total value added,Nepal,Percent,11.86
2003,Proportion of medium and high-tech industry value added in total value added,Nepal,Percent,11.86
2004,Proportion of medium and high-tech industry value added in total value added,Nepal,Percent,9.19
2005,Proportion of medium and high-tech industry value added in total value added,Nepal,Percent,9.19
2006,Proportion of medium and high-tech industry value added in total value added,Nepal,Percent,9.13
2007,Proportion of medium and high-tech industry value added in total value added,Nepal,Percent,9.19
2008,Proportion of medium and high-tech industry value added in total value added,Nepal,Percent,1.9
2009,Proportion of medium and high-tech industry value added in total value added,Nepal,Percent,2.14
2010,Proportion of medium and high-tech industry value added in total value added,Nepal,Percent,8.47
2011,Proportion of medium and high-tech industry value added in total value added,Nepal,Percent,8.38
2012,Proportion of medium and high-tech industry value added in total value added,Nepal,Percent,8.38
2013,Proportion of medium and high-tech industry value added in total value added,Nepal,Percent,8.38
2014,Proportion of medium and high-tech industry value added in total value added,Nepal,Percent,8.38
2015,Proportion of medium and high-tech industry value added in total value added,Nepal,Percent,8.38
2016,Proportion of medium and high-tech industry value added in total value added,Nepal,Percent,8.38
2017,Proportion of medium and high-tech industry value added in total value added,Nepal,Percent,8.38
