Year,SERIES,EDUCATION_LEV,UNIT_MEASURE,Value
2008,SE_GPI_PART,,RO,0.312727179618072
2011,SE_GPI_PTNPRE,,RO,1.10474
2014,SE_GPI_PTNPRE,,RO,0.99238
2015,SE_GPI_PTNPRE,,RO,0.96029
2016,SE_GPI_PTNPRE,,RO,0.93215
2017,SE_GPI_PTNPRE,,RO,0.88944
2019,SE_GPI_PTNPRE,,RO,0.91143
2008,SE_GPI_TCAQ,AGG_2_3,RO,1.03501
2010,SE_GPI_TCAQ,AGG_2_3,RO,1.02885
2011,SE_GPI_TCAQ,AGG_2_3,RO,1.02093
2013,SE_GPI_TCAQ,AGG_2_3,RO,0.98162
2014,SE_GPI_TCAQ,AGG_2_3,RO,0.98159
2015,SE_GPI_TCAQ,AGG_2_3,RO,0.97563
2019,SE_GPI_TCAQ,AGG_2_3,RO,0.91888
2010,SE_GPI_TCAQ,ISCED11_02,RO,1.22458
2011,SE_GPI_TCAQ,ISCED11_02,RO,1.14222
2012,SE_GPI_TCAQ,ISCED11_02,RO,1.73479
2013,SE_GPI_TCAQ,ISCED11_02,RO,1.9661
2014,SE_GPI_TCAQ,ISCED11_02,RO,2.2321
2015,SE_GPI_TCAQ,ISCED11_02,RO,2.41418
2016,SE_GPI_TCAQ,ISCED11_02,RO,1.79051
2017,SE_GPI_TCAQ,ISCED11_02,RO,1.81144
2019,SE_GPI_TCAQ,ISCED11_02,RO,2.03382
2001,SE_GPI_TCAQ,ISCED11_1,RO,0.84935
2002,SE_GPI_TCAQ,ISCED11_1,RO,0.78902
2003,SE_GPI_TCAQ,ISCED11_1,RO,0.77887
2004,SE_GPI_TCAQ,ISCED11_1,RO,0.80123
2005,SE_GPI_TCAQ,ISCED11_1,RO,0.84493
2007,SE_GPI_TCAQ,ISCED11_1,RO,0.89537
2008,SE_GPI_TCAQ,ISCED11_1,RO,0.98292
2010,SE_GPI_TCAQ,ISCED11_1,RO,0.973
2011,SE_GPI_TCAQ,ISCED11_1,RO,0.98133
2012,SE_GPI_TCAQ,ISCED11_1,RO,0.99543
2013,SE_GPI_TCAQ,ISCED11_1,RO,0.99493
2014,SE_GPI_TCAQ,ISCED11_1,RO,0.99115
2015,SE_GPI_TCAQ,ISCED11_1,RO,0.9945
2016,SE_GPI_TCAQ,ISCED11_1,RO,1.00402
2017,SE_GPI_TCAQ,ISCED11_1,RO,1.00395
2019,SE_GPI_TCAQ,ISCED11_1,RO,0.97557
2000,SE_GPI_TCAQ,ISCED11_2,RO,1.02694
2002,SE_GPI_TCAQ,ISCED11_2,RO,0.92976
2003,SE_GPI_TCAQ,ISCED11_2,RO,0.82174
2007,SE_GPI_TCAQ,ISCED11_2,RO,1.14561
2008,SE_GPI_TCAQ,ISCED11_2,RO,1.11299
2010,SE_GPI_TCAQ,ISCED11_2,RO,1.11046
2011,SE_GPI_TCAQ,ISCED11_2,RO,1.00597
2012,SE_GPI_TCAQ,ISCED11_2,RO,0.98147
2013,SE_GPI_TCAQ,ISCED11_2,RO,0.97834
2014,SE_GPI_TCAQ,ISCED11_2,RO,0.97967
2015,SE_GPI_TCAQ,ISCED11_2,RO,0.983
2016,SE_GPI_TCAQ,ISCED11_2,RO,1.00868
2017,SE_GPI_TCAQ,ISCED11_2,RO,1.00904
2019,SE_GPI_TCAQ,ISCED11_2,RO,0.93066
2008,SE_GPI_TCAQ,ISCED11_3,RO,1.01186
2010,SE_GPI_TCAQ,ISCED11_3,RO,1.05284
2011,SE_GPI_TCAQ,ISCED11_3,RO,1.09219
2013,SE_GPI_TCAQ,ISCED11_3,RO,0.98818
2014,SE_GPI_TCAQ,ISCED11_3,RO,0.98578
2015,SE_GPI_TCAQ,ISCED11_3,RO,0.97606
2019,SE_GPI_TCAQ,ISCED11_3,RO,0.88254
